name,id,nametype,recclass,mass,year,reclat,reclong,point_coordinates,year_only
Aachen,1,Valid,L5,21.0,1880-01-01,50.775000,6.083330,"['50.775000', '6.083330']",1880.0
Aarhus,2,Valid,H6,720.0,1951-01-01,56.183330,10.233330,"['56.183330', '10.233330']",1951.0
Abee,6,Valid,EH4,107000.0,1952-01-01,54.216670,-113.000000,"['54.216670', '-113.000000']",1952.0
Acapulco,10,Valid,Acapulcoite,1914.0,1976-01-01,16.883330,-99.900000,"['16.883330', '-99.900000']",1976.0
Achiras,370,Valid,L6,780.0,1902-01-01,-33.166670,-64.950000,"['-33.166670', '-64.950000']",1902.0
Adhi Kot,379,Valid,EH4,4239.0,1919-01-01,32.100000,71.800000,"['32.100000', '71.800000']",1919.0
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,1949-01-01,44.833330,95.166670,"['44.833330', '95.166670']",1949.0
Agen,392,Valid,H5,30000.0,1814-01-01,44.216670,0.616670,"['44.216670', '0.616670']",1814.0
Aguada,398,Valid,L6,1620.0,1930-01-01,-31.600000,-65.233330,"['-31.600000', '-65.233330']",1930.0
Aguila Blanca,417,Valid,L,1440.0,1920-01-01,-30.866670,-64.550000,"['-30.866670', '-64.550000']",1920.0
Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,1974-01-01,16.398060,-9.570280,"['16.398060', '-9.570280']",1974.0
Aïr,424,Valid,L6,24000.0,1925-01-01,19.083330,8.383330,"['19.083330', '8.383330']",1925.0
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01,50.666670,2.333330,"['50.666670', '2.333330']",1769.0
Akaba,426,Valid,L6,779.0,1949-01-01,29.516670,35.050000,"['29.516670', '35.050000']",1949.0
Akbarpur,427,Valid,H4,1800.0,1838-01-01,29.716670,77.950000,"['29.716670', '77.950000']",1838.0
Akwanga,432,Valid,H,3000.0,1959-01-01,8.916670,8.433330,"['8.916670', '8.433330']",1959.0
Akyumak,433,Valid,"Iron, IVA",50000.0,1981-01-01,39.916670,42.816670,"['39.916670', '42.816670']",1981.0
Al Rais,446,Valid,CR2-an,160.0,1957-01-01,24.416670,39.516670,"['24.416670', '39.516670']",1957.0
Al Zarnkh,447,Valid,LL5,700.0,2001-01-01,13.660330,28.960000,"['13.660330', '28.960000']",2001.0
Alais,448,Valid,CI1,6000.0,1806-01-01,44.116670,4.083330,"['44.116670', '4.083330']",1806.0
Albareto,453,Valid,L/LL4,2000.0,1766-01-01,44.650000,11.016670,"['44.650000', '11.016670']",1766.0
Alberta,454,Valid,L,625.0,1949-01-01,2.000000,22.666670,"['2.000000', '22.666670']",1949.0
Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,2002-01-01,45.821330,6.015330,"['45.821330', '6.015330']",2002.0
